Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2019-06-28,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,16.107395458754144,17.61780272478767,15.604971190180569,16.10899176164743,13.089141882527494,16.11016837778189,16.110958860819363,16.61497616372466,18.63096157137275,18.12826505351476,-999,-999,-999,-999,-999,-999
2019-06-29,Home,LW1,Lewisham - Catford,31.567429432622518,36.94263421495671,33.75296002017504,35.76914057247745,39.800913506408804,37.78616878052854,35.26375549823794,30.22364884102947,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.73339096834586,42.346186008853415,54.95244680179633,63.019602986461145,38.317795757030105,21.17608776512752
2019-06-29,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,28.715495474032046,28.719712911168116,27.713814664117347,24.692596899042968,20.157535749375807,25.70307336696618,21.16691059492251,22.176592132994426,28.22676325679393,26.21161366550244,-999,-999,-999,-999,-999,-999
2019-06-30,Home,LW1,Lewisham - Catford,14.117424199573916,11.428767484374777,8.571589789069451,8.067608789920119,10.08503770918071,8.067765467734542,6.554403240397399,7.563353812219901,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23.71308353278264,21.191506260083333,16.147271373588534,17.157963873403,16.65349740777654,14.63532186592454
2019-06-30,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,12.102144112893042,8.068700226968112,11.599929653468212,11.600688888319652,13.618088187611276,16.141014957913104,16.64623711122001,14.124260893711739,13.116461513260004,17.153497952689857,-999,-999,-999,-999,-999,-999
2019-07-01,Home,LW1,Lewisham - Catford,16.14995381190613,8.747767957081658,8.57787430577851,7.57065171927808,14.636922564203388,17.66597749195743,18.676281150948792,14.637987107334407,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.111732623675994,11.112418372240858,11.112895171212147,8.58719985089998,9.09304878948617,12.124786064770325
2019-07-01,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,11.608430474207102,11.105158375486209,8.075645280019629,12.116071367784762,12.622204798512655,13.127364408743231,9.593638516962507,12.624814506817376,9.595701144929805,10.100357333957117,-999,-999,-999,-999,-999,-999
2019-07-02,Home,LW1,Lewisham - Catford,12.125246708173751,10.104594666136476,10.105205410381782,11.621184660458876,13.643175281972193,14.14815139474623,13.640603665071197,17.175755487670994,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.1558606596247,15.673829345834003,17.191354599475385,27.811397244098433,30.341409488366345,36.410253034019256
2019-07-02,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,16.671149139801734,14.146906493520762,13.138754897366601,11.118703422800305,11.623681652951838,12.12972658981627,14.153341026339458,13.648803036437311,13.649888811874513,17.189248854465273,-999,-999,-999,-999,-999,-999
2019-07-03,Home,LW1,Lewisham - Catford,33.71534847685647,37.08619302616019,23.26368272908109,25.790848823184312,26.79103825231241,31.35531541923825,31.85230667648691,27.813779894739383,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31.37346214148743,27.833372111539838,23.787564603717165,23.789816726553195,28.34624833536898,27.842074090926666
