 "tick, patch-x, patch-y, monitor_type, monitor_code, no2"
24, 87, 52, Roadside, LW4, 58
24, 46, 66, Roadside, EI1, 67
24, 48, 43, Roadside, KT6, 24
24, 47, 73, Roadside, BT4, 65
25, 49, 70, Roadside, BT6, 60
25, 54, 68, Roadside, BT8, 44
25, 123, 67, Roadside, HV1, 73
25, 105, 58, Roadside, GN3, 83
25, 65, 64, Kerbside, WM6, 151
25, 101, 59, Roadside, GN0, 60
25, 118, 81, Roadside, HV3, 28
25, 94, 81, Roadside, RB4, 30
25, 70, 75, Roadside, IS2, 67
25, 47, 73, Roadside, BT4, 96
25, 104, 50, Roadside, GB6, 65
25, 87, 52, Roadside, LW4, 61
25, 46, 66, Roadside, EI1, 69
25, 67, 64, Roadside, WMB, 96
25, 48, 43, Roadside, KT6, 26
26, 123, 67, Roadside, HV1, 90
26, 70, 75, Roadside, IS2, 101
26, 54, 68, Roadside, BT8, 106
26, 48, 43, Roadside, KT6, 68
26, 67, 64, Roadside, WMB, 141
26, 87, 52, Roadside, LW4, 132
26, 101, 59, Roadside, GN0, 75
26, 49, 70, Roadside, BT6, 113
26, 118, 81, Roadside, HV3, 74
26, 46, 66, Roadside, EI1, 130
26, 104, 50, Roadside, GB6, 104
26, 105, 58, Roadside, GN3, 122
26, 47, 73, Roadside, BT4, 123
26, 94, 81, Roadside, RB4, 57
26, 65, 64, Kerbside, WM6, 128
27, 49, 70, Roadside, BT6, 142
27, 94, 81, Roadside, RB4, 63
27, 123, 67, Roadside, HV1, 80
27, 104, 50, Roadside, GB6, 173
27, 105, 58, Roadside, GN3, 155
27, 47, 73, Roadside, BT4, 147
27, 46, 66, Roadside, EI1, 130
27, 48, 43, Roadside, KT6, 108
27, 54, 68, Roadside, BT8, 131
27, 118, 81, Roadside, HV3, 61
27, 67, 64, Roadside, WMB, 198
27, 101, 59, Roadside, GN0, 126
27, 70, 75, Roadside, IS2, 116
27, 65, 64, Kerbside, WM6, 215
27, 87, 52, Roadside, LW4, 137
28, 94, 81, Roadside, RB4, 107
28, 46, 66, Roadside, EI1, 121
28, 67, 64, Roadside, WMB, 99
28, 104, 50, Roadside, GB6, 62
28, 48, 43, Roadside, KT6, 74
28, 49, 70, Roadside, BT6, 110
28, 65, 64, Kerbside, WM6, 153
28, 101, 59, Roadside, GN0, 58
28, 118, 81, Roadside, HV3, 129
28, 87, 52, Roadside, LW4, 94
28, 70, 75, Roadside, IS2, 106
28, 123, 67, Roadside, HV1, 82
28, 105, 58, Roadside, GN3, 69
28, 47, 73, Roadside, BT4, 208
28, 54, 68, Roadside, BT8, 104
29, 123, 67, Roadside, HV1, 140
29, 67, 64, Roadside, WMB, 147
29, 48, 43, Roadside, KT6, 107
29, 94, 81, Roadside, RB4, 182
29, 118, 81, Roadside, HV3, 129
29, 46, 66, Roadside, EI1, 127
29, 47, 73, Roadside, BT4, 278
29, 54, 68, Roadside, BT8, 103
29, 65, 64, Kerbside, WM6, 175
29, 101, 59, Roadside, GN0, 77
29, 87, 52, Roadside, LW4, 106
29, 105, 58, Roadside, GN3, 102
29, 70, 75, Roadside, IS2, 185
29, 49, 70, Roadside, BT6, 142
29, 104, 50, Roadside, GB6, 91
30, 118, 81, Roadside, HV3, 133
30, 67, 64, Roadside, WMB, 125
30, 54, 68, Roadside, BT8, 94
30, 65, 64, Kerbside, WM6, 125
30, 104, 50, Roadside, GB6, 63
30, 105, 58, Roadside, GN3, 73
30, 48, 43, Roadside, KT6, 75
30, 87, 52, Roadside, LW4, 88
30, 123, 67, Roadside, HV1, 77
30, 94, 81, Roadside, RB4, 114
30, 49, 70, Roadside, BT6, 92
30, 46, 66, Roadside, EI1, 117
30, 47, 73, Roadside, BT4, 186
30, 101, 59, Roadside, GN0, 62
30, 70, 75, Roadside, IS2, 91
31, 104, 50, Roadside, GB6, 55
31, 47, 73, Roadside, BT4, 151
31, 70, 75, Roadside, IS2, 164
31, 48, 43, Roadside, KT6, 85
31, 65, 64, Kerbside, WM6, 196
31, 118, 81, Roadside, HV3, 138
31, 123, 67, Roadside, HV1, 67
31, 87, 52, Roadside, LW4, 79
31, 101, 59, Roadside, GN0, 74
31, 67, 64, Roadside, WMB, 189
31, 46, 66, Roadside, EI1, 134
31, 49, 70, Roadside, BT6, 110
31, 105, 58, Roadside, GN3, 79
31, 94, 81, Roadside, RB4, 72
31, 54, 68, Roadside, BT8, 112
32, 47, 73, Roadside, BT4, 163
32, 101, 59, Roadside, GN0, 97
32, 46, 66, Roadside, EI1, 128
32, 67, 64, Roadside, WMB, 170
32, 118, 81, Roadside, HV3, 92
32, 104, 50, Roadside, GB6, 125
32, 87, 52, Roadside, LW4, 167
32, 65, 64, Kerbside, WM6, 145
32, 105, 58, Roadside, GN3, 126
32, 70, 75, Roadside, IS2, 127
32, 94, 81, Roadside, RB4, 124
32, 48, 43, Roadside, KT6, 152
32, 49, 70, Roadside, BT6, 116
32, 123, 67, Roadside, HV1, 119
32, 54, 68, Roadside, BT8, 170
33, 70, 75, Roadside, IS2, 127
33, 105, 58, Roadside, GN3, 120
33, 123, 67, Roadside, HV1, 68
33, 67, 64, Roadside, WMB, 326
33, 46, 66, Roadside, EI1, 123
33, 94, 81, Roadside, RB4, 59
33, 87, 52, Roadside, LW4, 159
33, 118, 81, Roadside, HV3, 50
33, 104, 50, Roadside, GB6, 169
33, 48, 43, Roadside, KT6, 72
33, 49, 70, Roadside, BT6, 104
33, 101, 59, Roadside, GN0, 99
33, 47, 73, Roadside, BT4, 136
33, 54, 68, Roadside, BT8, 186
33, 65, 64, Kerbside, WM6, 164
34, 87, 52, Roadside, LW4, 115
34, 118, 81, Roadside, HV3, 190
34, 105, 58, Roadside, GN3, 148
34, 123, 67, Roadside, HV1, 136
34, 65, 64, Kerbside, WM6, 188
34, 94, 81, Roadside, RB4, 155
34, 48, 43, Roadside, KT6, 105
34, 54, 68, Roadside, BT8, 157
34, 104, 50, Roadside, GB6, 127
34, 70, 75, Roadside, IS2, 150
34, 67, 64, Roadside, WMB, 157
34, 46, 66, Roadside, EI1, 157
34, 49, 70, Roadside, BT6, 158
34, 101, 59, Roadside, GN0, 137
34, 47, 73, Roadside, BT4, 212
35, 46, 66, Roadside, EI1, 211
35, 65, 64, Kerbside, WM6, 221
35, 70, 75, Roadside, IS2, 178
35, 47, 73, Roadside, BT4, 284
35, 48, 43, Roadside, KT6, 163
35, 101, 59, Roadside, GN0, 96
35, 49, 70, Roadside, BT6, 180
35, 94, 81, Roadside, RB4, 204
35, 87, 52, Roadside, LW4, 146
35, 105, 58, Roadside, GN3, 150
35, 123, 67, Roadside, HV1, 165
35, 118, 81, Roadside, HV3, 238
35, 104, 50, Roadside, GB6, 107
35, 54, 68, Roadside, BT8, 181
35, 67, 64, Roadside, WMB, 180
36, 46, 66, Roadside, EI1, 93
36, 94, 81, Roadside, RB4, 114
36, 48, 43, Roadside, KT6, 87
36, 54, 68, Roadside, BT8, 83
36, 49, 70, Roadside, BT6, 91
36, 118, 81, Roadside, HV3, 97
36, 105, 58, Roadside, GN3, 91
36, 87, 52, Roadside, LW4, 114
36, 123, 67, Roadside, HV1, 69
36, 47, 73, Roadside, BT4, 162
36, 70, 75, Roadside, IS2, 101
36, 67, 64, Roadside, WMB, 158
36, 101, 59, Roadside, GN0, 85
36, 104, 50, Roadside, GB6, 127
36, 65, 64, Kerbside, WM6, 145
37, 47, 73, Roadside, BT4, 239
37, 118, 81, Roadside, HV3, 110
37, 123, 67, Roadside, HV1, 67
37, 49, 70, Roadside, BT6, 105
37, 105, 58, Roadside, GN3, 112
37, 101, 59, Roadside, GN0, 51
37, 104, 50, Roadside, GB6, 154
37, 70, 75, Roadside, IS2, 93
37, 46, 66, Roadside, EI1, 140
37, 87, 52, Roadside, LW4, 127
37, 54, 68, Roadside, BT8, 110
37, 65, 64, Kerbside, WM6, 189
37, 94, 81, Roadside, RB4, 153
37, 67, 64, Roadside, WMB, 167
37, 48, 43, Roadside, KT6, 104
38, 48, 43, Roadside, KT6, 153
38, 101, 59, Roadside, GN0, 138
38, 67, 64, Roadside, WMB, 164
38, 94, 81, Roadside, RB4, 164
38, 54, 68, Roadside, BT8, 134
38, 47, 73, Roadside, BT4, 238
38, 87, 52, Roadside, LW4, 202
38, 70, 75, Roadside, IS2, 136
38, 46, 66, Roadside, EI1, 153
38, 105, 58, Roadside, GN3, 191
38, 65, 64, Kerbside, WM6, 171
38, 118, 81, Roadside, HV3, 110
38, 104, 50, Roadside, GB6, 155
38, 49, 70, Roadside, BT6, 190
38, 123, 67, Roadside, HV1, 94
39, 87, 52, Roadside, LW4, 139
39, 46, 66, Roadside, EI1, 93
39, 67, 64, Roadside, WMB, 180
39, 123, 67, Roadside, HV1, 63
39, 49, 70, Roadside, BT6, 110
39, 70, 75, Roadside, IS2, 132
39, 48, 43, Roadside, KT6, 117
39, 118, 81, Roadside, HV3, 86
39, 65, 64, Kerbside, WM6, 140
39, 54, 68, Roadside, BT8, 174
39, 105, 58, Roadside, GN3, 112
39, 47, 73, Roadside, BT4, 206
39, 101, 59, Roadside, GN0, 150
39, 94, 81, Roadside, RB4, 90
39, 104, 50, Roadside, GB6, 160
40, 123, 67, Roadside, HV1, 142
40, 65, 64, Kerbside, WM6, 166
40, 118, 81, Roadside, HV3, 131
40, 67, 64, Roadside, WMB, 190
40, 101, 59, Roadside, GN0, 125
40, 47, 73, Roadside, BT4, 215
40, 54, 68, Roadside, BT8, 131
40, 46, 66, Roadside, EI1, 165
40, 48, 43, Roadside, KT6, 147
40, 94, 81, Roadside, RB4, 188
40, 105, 58, Roadside, GN3, 136
40, 87, 52, Roadside, LW4, 155
40, 49, 70, Roadside, BT6, 138
40, 104, 50, Roadside, GB6, 117
40, 70, 75, Roadside, IS2, 161
41, 46, 66, Roadside, EI1, 207
41, 49, 70, Roadside, BT6, 160
41, 87, 52, Roadside, LW4, 151
41, 48, 43, Roadside, KT6, 159
41, 54, 68, Roadside, BT8, 153
41, 94, 81, Roadside, RB4, 202
41, 118, 81, Roadside, HV3, 249
41, 70, 75, Roadside, IS2, 188
41, 104, 50, Roadside, GB6, 199
41, 47, 73, Roadside, BT4, 303
