tick, monitor_code,no2
56,GN3,42.52757683
56,HV1,60.76178588
56,HV3,75.19189863
56,IS2,66.08592565
56,KT6,59.10181372
56,LW4,61.16517876
56,RB4,77.00415434
56,WMB,69.35752074
57,BT4,124.6316237
57,BT6,72.27505438
57,BT8,70.92714302
57,EI1,76.0700147
57,EN5,56.8098397
57,GB6,59.90420041
57,GN0,32.03590899
57,GN3,46.20321092
57,HV1,63.54449116
57,HV3,83.55368497
57,IS2,87.27916601
57,KT6,83.03612278
57,LW4,63.88578206
57,RB4,79.88446291
57,WMB,76.2945845
58,BT4,102.3242471
58,BT6,72.38945634
58,BT8,75.774051
58,EI1,59.35482617
58,EN5,82.17413496
58,GB6,51.04883607
58,GN0,53.83324108
58,GN3,67.15401947
58,HV1,67.0080634
58,HV3,57.53910179
58,IS2,58.04383175
58,KT6,58.08558366
58,LW4,62.9714802
58,RB4,55.32202731
58,WMB,83.12116423
59,BT4,100.1251479
59,BT6,74.65674105
59,BT8,70.93104926
59,EI1,63.18107066
59,EN5,79.79278441
59,GB6,58.34816884
59,GN0,70.57955129
59,GN3,67.38308222
59,HV1,65.13104623
59,HV3,49.66218553
59,IS2,64.37618218
59,KT6,59.01310908
59,LW4,71.57391827
59,RB4,50.81295413
59,WMB,114.4327653
60,BT4,109.1220494
60,BT6,68.91865939
60,BT8,69.75362393
60,EI1,49.73999518
60,EN5,77.26691402
60,GB6,64.05873502
60,GN0,56.80895821
60,GN3,55.75582295
60,HV1,43.82176542
60,HV3,54.3186641
60,IS2,63.19715812
60,KT6,50.9836779
60,LW4,55.6524601
60,RB4,65.44305649
60,WMB,86.64633055
61,BT4,126.8425713
61,BT6,75.44605562
61,BT8,66.1614616
61,EI1,62.66681189
61,EN5,92.48125547
61,GB6,83.28176499
61,GN0,58.34105014
61,GN3,67.1647693
61,HV1,47.99204538
61,HV3,62.82516502
61,IS2,71.93370366
61,KT6,67.07063944
61,LW4,69.55696415
61,RB4,82.36571134
61,WMB,107.762719
62,BT4,53.87584451
62,BT6,28.40370915
62,BT8,42.63269295
62,EI1,25.19570887
62,EN5,29.85989987
62,GB6,40.66151905
62,GN0,37.29069561
62,GN3,29.05311259
62,HV1,17.23752808
62,HV3,25.97101643
62,IS2,25.75433435
62,KT6,35.579761
62,LW4,38.36053337
62,RB4,20.70582932
62,WMB,60.97287068
63,BT4,81.9708399
63,BT6,38.25408052
63,BT8,48.99755714
63,EI1,38.50130678
63,EN5,39.82467727
63,GB6,51.48553911
63,GN0,47.60536293
63,GN3,30.57045642
63,HV1,19.23872461
63,HV3,38.4743597
63,IS2,45.58745985
63,KT6,56.00187172
63,LW4,56.08026919
63,RB4,31.68143953
63,WMB,80.11376754
64,BT4,39.41749195
64,BT6,33.36622239
64,BT8,52.69761221
64,EI1,25.78742399
64,EN5,32.71230359
64,GB6,31.78744805
64,GN0,22.49602536
64,GN3,22.80834802
64,HV1,11.5990042
64,HV3,14.00956435
64,IS2,31.17719451
64,KT6,22.40342739
64,LW4,30.71275629
64,RB4,15.32433085
64,WMB,52.95598265
65,BT4,58.30028973
65,BT6,41.33702362
65,BT8,83.34574584
65,EI1,25.37458725
65,EN5,36.59430278
65,GB6,45.03606596
65,GN0,27.89968785
65,GN3,21.91759124
65,HV1,11.88367715
65,HV3,17.64114168
65,IS2,36.74745377
65,KT6,24.67941886
65,LW4,42.88613293
65,RB4,16.53832739
65,WMB,51.29548723
66,BT4,58.88762887
66,BT6,45.85960663
66,BT8,50.54353883
66,EI1,38.68393762
66,EN5,40.61115677
66,GB6,29.88737525
66,GN0,28.16105261
66,GN3,33.35505519
66,HV1,36.71915936
66,HV3,43.76405908
66,IS2,48.08898889
66,KT6,46.69242267
66,LW4,37.09471537
66,RB4,38.14667062
66,WMB,61.60553825
67,BT4,99.06220971
67,BT6,53.96349515
67,BT8,53.46643932
67,EI1,45.5853131
67,EN5,48.04444636
67,GB6,34.25802537
67,GN0,36.19915138
67,GN3,44.31681921
67,HV1,51.79324093
67,HV3,56.46519615
67,IS2,64.86872805
67,KT6,43.62505591
67,LW4,51.43942445
67,RB4,58.71423718
67,WMB,57.27119813
68,BT4,68.41067917
68,BT6,45.92368186
68,BT8,44.01706004
68,EI1,46.76370197
68,EN5,42.46351785
68,GB6,27.10605929
68,GN0,29.04171963
68,GN3,31.97036864
68,HV1,42.22052168
68,HV3,52.01226223
68,IS2,47.94937894
68,KT6,30.89538848
68,LW4,34.09010716
68,RB4,44.77248386
68,WMB,46.09537581
69,BT4,87.76058494
69,BT6,52.67198701
69,BT8,46.33453218
69,EI1,53.49073144
69,EN5,39.92813518
69,GB6,21.18292204
69,GN0,24.22445091
69,GN3,27.56922733
69,HV1,46.77303029
69,HV3,60.86707315
69,IS2,63.01798218
69,KT6,35.79850095
69,LW4,31.21073872
69,RB4,55.01975778
69,WMB,60.75884733
70,BT4,76.38977788
70,BT6,47.65719044
70,BT8,44.96776162
70,EI1,54.69812884
70,EN5,57.51607374
70,GB6,30.02198183
70,GN0,29.27067935
70,GN3,33.0940391
70,HV1,44.64446372
70,HV3,59.31067206
70,IS2,55.77148928
70,KT6,43.07473623
70,LW4,35.10523528
70,RB4,53.49364998
70,WMB,53.09594102
71,BT4,89.4278364
71,BT6,49.44479536
71,BT8,45.39420932
71,EI1,64.13265466
71,EN5,36.56434628
71,GB6,28.02522833
71,GN0,27.54553307
71,GN3,33.82311824
71,HV1,48.98033857
71,HV3,67.18471019
71,IS2,70.13463414
71,KT6,52.73865349
71,LW4,40.2807515
71,RB4,57.64757739
71,WMB,60.60014709
72,BT4,66.09001495
72,BT6,40.66924888
72,BT8,43.6890843
72,EI1,52.80336334
72,EN5,34.64039023
72,GB6,26.18285628
72,GN0,18.50141741
72,GN3,25.07072748
72,HV1,39.18285407
72,HV3,48.84492643
72,IS2,43.99195265
72,KT6,33.96761056
72,LW4,30.90751236
72,RB4,45.00167887
72,WMB,49.57923597
73,BT4,126.0973896
73,BT6,72.89054458
73,BT8,61.73274701
73,EI1,80.92621761
73,EN5,49.9374785
73,GB6,42.62635104
73,GN0,41.80667218
73,GN3,52.8470382
73,HV1,71.36026307
73,HV3,79.79803703
73,IS2,73.28172153
73,KT6,55.18407627
73,LW4,55.23177017
73,RB4,82.05479197
73,WMB,73.94720163
74,BT4,35.6044991
74,BT6,31.49385771
74,BT8,39.15874265
74,EI1,30.45335689
74,EN5,23.41382012
74,GB6,11.14417081
74,GN0,14.89822707
74,GN3,15.24362949
74,HV1,23.07587588
74,HV3,31.35490426
74,IS2,32.71878075
74,KT6,20.94640445
74,LW4,23.6090612
74,RB4,32.4157603
74,WMB,43.03366142
75,BT4,76.77496463
75,BT6,32.86151341
75,BT8,33.27135534
75,EI1,36.30908808
75,EN5,34.67902883
75,GB6,14.27542652
75,GN0,17.81252632
75,GN3,24.05506807
75,HV1,29.8305983
75,HV3,23.03818295
75,IS2,41.48533847
75,KT6,19.44272202
75,LW4,28.72211962
75,RB4,38.40821107
75,WMB,49.58811917
76,BT4,42.1366461
76,BT6,21.726223
76,BT8,25.40016977
76,EI1,23.739662
76,EN5,14.6691505
76,GB6,6.566761654
76,GN0,9.832969373
76,GN3,8.816362533
76,HV1,13.38722057
76,HV3,26.58732602
76,IS2,32.37315523
76,KT6,14.09915015
76,LW4,15.15665559
76,RB4,22.55607641
76,WMB,33.88885266
77,BT4,48.2566092
77,BT6,31.00073689
77,BT8,22.69161605
77,EI1,35.86330058
77,EN5,16.00805573
77,GB6,10.80486735
77,GN0,12.07871917
77,GN3,11.76693956
